tray,pos,hpi,genotype,cluster,size
1,B_10,24,lacs,Chlorotic,4.246284501061571e-4
1,B_10,48,lacs,Chlorotic,0
1,B_10,72,lacs,Chlorotic,4.1562759767248546e-4
1,B_10,96,lacs,Chlorotic,0.02423469387755102
1,B_11,0,lacs,Chlorotic,0
1,B_11,24,lacs,Chlorotic,0
1,B_11,48,lacs,Chlorotic,0
1,B_11,72,lacs,Chlorotic,0.015625
1,B_11,96,lacs,Chlorotic,0.07603041216486595
1,B_12,0,lacs,Chlorotic,0
1,B_12,24,lacs,Chlorotic,0
1,B_12,48,lacs,Chlorotic,0
1,B_12,72,lacs,Chlorotic,0.043343653250773995
1,B_12,96,lacs,Chlorotic,0.22663913267940114
1,C_01,0,cyp,Chlorotic,0
1,C_01,24,cyp,Chlorotic,0
1,C_01,48,cyp,Chlorotic,0.012622149837133551
1,C_01,72,cyp,Chlorotic,0
1,C_01,96,cyp,Chlorotic,0
1,C_02,0,cyp,Chlorotic,0
1,C_02,24,cyp,Chlorotic,0
1,C_02,48,cyp,Chlorotic,0.029
1,C_02,72,cyp,Chlorotic,0.039400665926748055
1,C_02,96,cyp,Chlorotic,0.05001634521085322
1,C_03,0,cyp,Chlorotic,0
1,C_03,24,cyp,Chlorotic,0
1,C_03,48,cyp,Chlorotic,0
1,C_03,72,cyp,Chlorotic,0
1,C_03,96,cyp,Chlorotic,0
1,C_04,0,cyp,Chlorotic,0
1,C_04,24,cyp,Chlorotic,0
1,C_04,48,cyp,Chlorotic,0.04607046070460705
1,C_04,72,cyp,Chlorotic,0
1,C_04,96,cyp,Chlorotic,0.010722610722610723
1,C_05,0,cyp,Chlorotic,0
1,C_05,24,cyp,Chlorotic,0
1,C_05,48,cyp,Chlorotic,0
1,C_05,72,cyp,Chlorotic,0
1,C_05,96,cyp,Chlorotic,0
1,C_06,0,cyp,Chlorotic,0
1,C_06,24,cyp,Chlorotic,0
1,C_06,48,cyp,Chlorotic,0.027533460803059275
1,C_06,72,cyp,Chlorotic,0.0011895321173671688
1,C_06,96,cyp,Chlorotic,0.0012371134020618556
1,C_07,0,cyp,Chlorotic,0
1,C_07,24,cyp,Chlorotic,0
1,C_07,48,cyp,Chlorotic,0.17726657645466848
1,C_07,72,cyp,Chlorotic,0.07856849033319621
1,C_07,96,cyp,Chlorotic,0.08408408408408409
1,C_08,0,cyp,Chlorotic,0
1,C_08,24,cyp,Chlorotic,0
1,C_08,48,cyp,Chlorotic,0.3106267029972752
1,C_08,72,cyp,Chlorotic,0.1332133213321332
1,C_08,96,cyp,Chlorotic,0.10514018691588785
1,C_09,0,cyp,Chlorotic,0
1,C_09,24,cyp,Chlorotic,0
1,C_09,48,cyp,Chlorotic,0.010788690476190476
1,C_09,72,cyp,Chlorotic,0.04007707129094412
1,C_09,96,cyp,Chlorotic,0.002959830866807611
1,C_10,0,cyp,Chlorotic,0
1,C_10,24,cyp,Chlorotic,0
1,C_10,48,cyp,Chlorotic,0.1223648029330889
1,C_10,72,cyp,Chlorotic,0.24275222265172014
1,C_10,96,cyp,Chlorotic,0.07923497267759563
1,C_11,0,cyp,Chlorotic,0
1,C_11,24,cyp,Chlorotic,0
1,C_11,48,cyp,Chlorotic,0.10591133004926108
1,C_11,72,cyp,Chlorotic,0.24220405691795338
1,C_11,96,cyp,Chlorotic,0.06835611870623541
1,C_12,0,cyp,Chlorotic,0
1,C_12,24,cyp,Chlorotic,0
